ObjectID;ProviderID;GoogleID;State;ActiveTime;Rank;TypeID;Name;Address;Phone;Lat;Lng
100;113;ChIJR_Qo2qtC0EARoML0GsGgpho;0;;0;0;CULT HOOKAH BAR;вулиця Гагаріна, 32/32, Кропивницький;;48.510604;32.276254
100;114;ChIJE13YGbZC0EARy9BghX5meGM;0;;0;0;Дудляр;вулиця Вокзальна, 39, Кропивницький;;48.516518;32.252504
100;115;ChIJT6k3kB9o0EARQZv5oxi1gmQ;0;;0;0;Кафе Алсан;Кропивницький;;48.496779;32.268349
100;116;ChIJk4dhkiFo0EARhrs-VaPNaAk;0;;0;0;"Buffet ""Empire-S""";Верхня Пермська вулиця, 73, Кропивницький;;48.493985;32.269768
100;117;ChIJnxY4H5VC0EARfGo0ECgvqKQ;0;;0;0;"Steakhouse ""Come In""";вулиця Академіка Корольова, 2, Кропивницький;;48.502919;32.237772
100;118;ChIJQ7xdtVZd0EARnEWoAlu3k9w;0;;0;0;Marho;Олександрівське шосе, 35, Кропивницький;;48.520019;32.284982
100;119;ChIJcb_Fy1Zd0EAReTxItFcB0hA;0;;0;0;Barvinok;Кропивницький;;48.520119;32.285471
100;120;ChIJee7VDrpC0EARRGSdLXXtmfY;0;;0;0;Подкова;проспект Винниченка, Кропивницький;;48.511761;32.254916
100;121;ChIJ4UO21a1C0EARjnyTzs-0nTU;0;;0;0;Pahlava;вулиця Велика Перспективна, 21, Кропивницький;;48.512483;32.270067
100;122;ChIJeYQ-9q1C0EAR5LP5MHDl5DM;0;;0;0;Баклажан;вулиця В'ячеслава Чорновола, 16, Кропивницький;;48.513929;32.26751
100;123;ChIJl0Bj76hC0EARKdsBJ4jyajA;0;;0;0;Евроазия Суши-бар;вулиця Михайлівська, 55, Кропивницький;;48.507916;32.272972
100;124;ChIJBXAbP6lC0EAREHXCm6_IIW8;0;;0;0;Manhal;вулиця Шевченка, 56, Кропивницький;;48.509655;32.273313
100;125;ChIJ2YANr7NC0EARabZmzhv-kGI;0;;0;0;Звезда;вулиця Шевченка, 1Б, Кропивницький;;48.516247;32.264458
100;126;ChIJd0EBr7NC0EART2AmG5ZUfh0;0;;0;0;Pyvovarnya;Зірка, вул. Гагаріна, 1А, Кропивницький;;48.516267;32.264508
100;127;ChIJy8V7Yp9C0EARTZQyj3ulydw;0;;0;0;vip-хатинка;вул. Куроп'ятникова, 23, Кропивницький;;48.498535;32.260482
100;128;ChIJXysPj7RC0EARSgYdVuq5wLQ;0;;0;0;Dzyga;вулиця Кавалерійська, 2, Кропивницький;;48.517822;32.261713
100;129;ChIJQZdxhrRC0EARG_75t2JFuVw;0;;0;0;"Столовая ""Веста""";вулиця Кавалерійська, 1/2, Кропивницький;;48.517894;32.26173
100;130;ChIJVYPgGLZC0EARHzaFMkpPPW4;0;;0;0;Shaurman;вулиця Вокзальна, 24, Кропивницький;;48.516463;32.251852
100;131;ChIJrU-3Vk1d0EARS-EStWPB4CI;0;;0;0;Sultan Cafe_султан Кафе;Студентський бульвар, 1, Кропивницький;;48.517681;32.271633
100;132;ChIJJTaF3-xd0EARiieQsa6rYRI;0;;0;0;Big Boss Food - сервис доставки здорового питания;Коммунистический пр-т. д. 1Б, Кропивницький;;48.517549;32.272016
100;133;ChIJZWKAV01d0EARRUdDLFxxDsg;0;;0;0;Ланжерон;ул.Черновола 1в, Кропивницький;;48.517833;32.27207
100;134;ChIJX3ymfOZc0EARJWvBvTJYVhk;0;;0;0;London;Московская ул., 13, Кропивницький;;48.518369;32.273493
100;135;ChIJBQUcRVNd0EARsSz82ji4COM;0;;0;0;Сахтейн - ?????;Арсения Тарковского, 3, Кропивницький;;48.515618;32.277956
100;136;ChIJ-8IJOJRC0EARsxTugJm4AAU;0;;0;0;Шаурмен;вулиця Євгена Тельнова, 1, Кропивницький;;48.501503;32.239488
100;137;ChIJM3YZmcpC0EARzT2BqCitE1w;0;;0;0;Суши Box;вулиця Київська, 19, Кропивницький;;48.523971;32.245389
100;138;ChIJ09psSpNC0EARpDrpMv84qKw;0;;0;0;Gloria;вулиця Євгена Тельнова, 4-5, Кропивницький;;48.500623;32.231548
100;139;ChIJwdjq8etC0EARvpLQC5qJFPM;0;;0;0;"Ресторан ""У Эльшана""";вулиця Бєляєва, 16, Кропивницький;;48.503887;32.227024
100;140;ChIJSTRI6ilo0EAR-ZZsNvrsnSk;0;;0;0;"Какао бар ""Пудинг""";Преображенська вулиця, Кропивницький;;48.485489;32.252575
100;141;ChIJIX9HyFld0EARRe5eBSygRw0;0;;0;0;Бильярдный Клуб Беток;Крутий провулок, 5, Кропивницький;;48.523261;32.292771
100;142;ChIJBwARpQVd0EARmpve4F1Jn84;0;;0;0;"Гриль-паб ""Гарячі перці""";Полтавська вулиця, 28, Кропивницький;;48.523507;32.292488
100;143;ChIJS4AXmO5C0EAR8tVUxq83ubY;0;;0;0;Кафе-бар Кактус;вулиця Євгена Тельнова, 15м, Кропивницький;;48.503324;32.224019
100;144;ChIJtccOEL9d0EARHIWuL5xi8C0;0;;0;0;PlayBar;Варшавська вулиця, 89, Кропивницький;;48.538249;32.252261
100;145;ChIJNb3BDq9C0EARHBNVdemwvio;0;;0;0;Кафе Dream Room;вулиця Віктора Чміленка, 59, Кропивницький;;48.509361;32.267173
100;146;ChIJqVviKK5C0EARsj4HK26ds6s;0;;0;0;Scorini;вулиця Архітектора Паученка, 28, Кропивницький;;48.511545;32.264961
100;147;ChIJw0nEL65C0EARaFhEI_WSt4I;0;;0;0;Мокко;вулиця В'ячеслава Чорновола, 36/30, Кропивницький;;48.511466;32.265306
100;148;ChIJfYNOAK9C0EARLXtq6_-Z3o8;0;;0;0;Варенична;вулиця Велика Перспективна, 31/36, Кропивницький;;48.510059;32.267579
100;149;ChIJV1UO2LFC0EARrMUO_uQZUWs;0;;0;0;Istanbul Doner King of Kebabs;вулиця Архітектора Паученка, Кропивницький;;48.511837;32.264676
100;150;ChIJjQ6jjqZC0EARg2biqaKIIJo;0;;0;0;"Кафе ""Талисман""";Улица Покровская 4- а, Кропивницький;;48.504608;32.26621
100;151;ChIJ1U53woVD0EARvBM1fhAlybw;0;;0;0;Bodryi Kot;вулиця Архітектора Паученка, 29, Кропивницький;;48.511303;32.266238
100;152;ChIJS2GKSK5C0EARpEsGs8vIsFs;0;;0;0;Kex Bar;Кропивницький;;48.511079;32.266655
100;153;ChIJIR6_SK5C0EARpL1gG3GoSEU;0;;0;0;Kex bar;вулиця Леніна, 23, Кропивницький;;48.51108;32.266674
100;154;ChIJ7wmd-K5C0EARFwceHjM92HM;0;;0;0;DVA Coffee;вулиця Архітектора Паученка, 38, Кропивницький;;48.510571;32.267871
100;155;ChIJaRIvVq5C0EARhkpL-5fdtE8;0;;0;0;DVA Coffee;Кропивницький;;48.51056;32.267903
100;156;ChIJ2cjBubFC0EAR4WA3yOIc8dg;0;;0;0;Dubai_cafe;Кропивницький;;48.512481;32.262682
100;157;ChIJPZjr-7BC0EARS9Ir0t9SZbU;0;;0;0;Амен;вулиця Віктора Чміленка, 52, Кропивницький;;48.512238;32.259663
100;158;ChIJi68eW65C0EARY5xvpm7UCZQ;0;;0;0;Горком;вулиця Велика Перспективна, 36, Кропивницький;;48.511067;32.267574
100;159;ChIJUfgLI3FD0EARUzmfzd0w-5Y;0;;0;0;Кофейня Korizza;вулиця Архітектора Паученка, 16/7, Кропивницький;;48.512649;32.262493
100;160;ChIJ6a86WK5C0EARK_i14kP8rMI;0;;0;0;Caffeine - Кофеин - Кофеїн;вулиця Велика Перспективна, 29/35, Кропивницький;;48.510791;32.267999
100;161;ChIJIVoY3OBD0EARKC4ZGfqY3rs;0;;0;0;Coffee Mobile;вулиця Архітектора Паученка, 38, Кропивницький;;48.510219;32.26868
100;162;ChIJ46MzQq5C0EARtmTgvqOOWSQ;0;;0;0;Yevro;вулиця Велика Перспективна, 36А, Кропивницький;;48.511466;32.267392
100;163;ChIJeyIgdbpC0EAR6ZS1TQXdbmg;0;;0;0;ПІДКОВА, КАФЕ;проспект Винниченка, 11, Кропивницький;;48.510769;32.256254
100;164;ChIJm2b0XK5C0EARecn2nsoQopc;0;;0;0;Крила;"33 (ТЦ ""Пассаж, вулиця Велика Перспективна, 38, Кропивницький";;48.51123;32.267868
